Age,Gender,ChildrenHome,Education,MaritalStatus,Income,DeviceType,SubscriptionPaymentMethod,TimeSpentOnStraitsTimes,NumOfTimesAppOpened,NumAdsViewed,NumArticlesFashion,NumArticlesTechnology,NumArticlesHealth,NumArticlesSports,NumArticlesWorldEvents,Response
74,1,2,PhD,Married,46681.0,Computer,0,9,1,4,1,1,4,3,3,0
50,1,1,Graduate,Married,62710.0,Computer,2,24,4,4,5,4,7,8,5,0
71,0,0,Graduate,Single,80872.0,Tablet,0,8,1,4,1,2,6,4,6,0
46,1,1,Graduate,Married,71322.0,Phone,0,12,1,4,3,1,0,3,0,0
23,1,0,Undergraduate,Single,25261.0,Laptop,0,12,4,8,7,2,10,2,4,1
62,0,1,PhD,Married,65695.0,Phone,2,25,2,5,5,2,0,5,12,0
47,0,1,Graduate,Single,57338.0,Laptop,0,16,3,4,3,0,4,2,1,0
50,1,2,Graduate,Married,40321.0,Laptop,1,19,3,3,0,0,1,0,8,0
53,1,1,Master,Widow,67369.0,Laptop,2,7,1,7,4,3,3,0,10,1
56,1,2,PhD,Single,7144.0,Tablet,2,19,3,23,1,0,0,2,7,0
53,0,2,PhD,Married,94871.0,Phone,0,33,5,8,4,1,2,1,3,1
57,1,1,Master,Married,45143.0,Tablet,2,29,2,6,1,4,2,1,8,0
34,1,1,Graduate,Single,34176.0,Tablet,0,5,1,3,0,0,2,0,7,0
29,0,0,Graduate,Single,74293.0,Computer,1,7,2,5,2,0,0,4,1,0
75,0,0,Graduate,Single,77457.0,Computer,2,18,4,2,3,6,0,6,2,0
48,0,1,Graduate,Married,48186.0,Laptop,1,29,5,4,0,1,1,0,5,0
59,0,1,Graduate,Divorced,68118.0,Laptop,1,16,2,8,6,4,2,2,7,0
58,0,3,Graduate,Married,40800.0,Tablet,1,4,2,3,8,5,5,2,2,0
69,1,0,Graduate,Single,73892.0,Phone,2,21,5,3,3,1,4,3,0,1
50,0,2,Graduate,Divorced,51813.0,Computer,2,5,2,2,0,4,4,2,6,0
72,0,2,PhD,Married,55517.0,Phone,2,6,1,11,1,8,6,5,11,1
51,1,1,Graduate,Single,58350.0,Laptop,0,28,4,8,0,1,0,1,1,0
32,1,0,Master,Single,91172.0,Tablet,2,30,2,4,10,0,1,1,6,1
45,0,2,Graduate,Married,54809.0,Phone,2,23,5,2,2,3,1,5,14,1
49,1,1,Basic,Married,27190.0,Computer,2,8,1,1,4,2,0,7,9,1
53,1,1,Graduate,Divorced,23910.0,Phone,1,20,5,2,5,4,1,2,5,0
52,0,1,2ndCycle,Married,62466.0,Computer,0,21,2,6,6,2,0,7,14,0
70,0,0,Graduate,Married,83844.0,Laptop,0,26,4,4,7,3,3,2,1,0
52,0,1,Graduate,Widow,66731.0,Phone,0,18,2,4,5,3,1,3,1,0
56,1,1,Graduate,Single,63810.0,Computer,2,29,2,4,8,1,0,2,3,0
44,1,1,Master,Married,61346.0,Tablet,0,19,4,5,5,2,2,3,3,0
56,0,1,Graduate,Single,34704.0,Laptop,1,17,4,1,5,6,3,0,1,0
40,1,0,2ndCycle,Married,66664.0,Computer,1,7,1,5,4,6,0,7,3,0
49,1,1,PhD,Married,55012.0,Computer,1,6,2,8,0,7,7,2,4,0
16,0,0,Undergraduate,Single,11482.0,Tablet,1,39,2,2,7,3,5,3,2,1
57,0,1,Master,Married,53843.0,Laptop,1,5,2,8,1,5,2,2,5,0
17,1,0,Undergraduate,Single,19505.0,Computer,1,41,7,2,1,6,14,5,2,1
49,0,2,PhD,Divorced,35860.0,Computer,2,26,4,1,6,2,2,2,5,0
61,0,2,Graduate,Married,27116.0,Computer,0,28,3,2,0,4,2,3,2,0
43,1,2,Graduate,Divorced,68274.0,Computer,1,26,5,4,8,5,0,2,2,0
45,1,1,Graduate,Married,42014.0,Tablet,1,37,3,7,4,1,1,3,0,1
46,1,1,Master,Married,37509.0,Computer,2,27,4,3,5,3,0,0,4,0
31,0,0,2ndCycle,Single,61618.0,Tablet,2,9,2,3,2,2,6,6,3,0
53,1,1,Graduate,Married,4428.0,Computer,2,19,1,25,0,0,2,0,10,0
70,1,0,Graduate,Married,83844.0,Laptop,2,16,2,4,3,2,4,8,8,0
60,0,1,Graduate,Married,71434.0,Phone,0,8,2,7,5,5,0,2,9,0
36,0,1,Master,Single,21888.0,Phone,2,18,4,5,0,5,13,1,8,1
34,0,1,Graduate,Single,34176.0,Laptop,2,5,2,3,4,1,0,4,13,0
26,1,1,Graduate,Married,46251.0,Tablet,0,18,2,25,1,7,3,1,2,0
45,0,1,2ndCycle,Married,31056.0,Computer,0,20,5,1,2,6,3,6,2,0
45,1,1,Graduate,Married,41443.0,Computer,0,19,1,8,2,3,0,0,8,0
77,0,0,PhD,Single,45576.0,Tablet,1,42,5,3,0,6,6,5,6,1
48,1,0,Master,Married,82584.0,Phone,0,32,6,3,9,5,6,2,10,1
71,1,0,Graduate,Married,86610.0,Computer,1,9,2,5,0,6,4,3,5,0
46,0,2,PhD,Married,162397.0,Tablet,0,12,3,0,4,1,1,6,6,0
56,0,2,Graduate,Single,37070.0,Tablet,1,10,4,5,3,2,4,7,3,1
65,1,2,Graduate,Married,26091.0,Tablet,0,4,1,2,1,1,4,0,6,0
48,1,2,Graduate,Single,42373.0,Phone,0,30,4,2,0,2,4,2,15,0
49,1,1,2ndCycle,Married,46805.0,Laptop,0,15,2,3,0,2,0,3,3,0
44,1,3,Graduate,Single,60199.0,Computer,1,16,2,0,3,0,0,1,2,0
44,1,1,Graduate,Married,42693.0,Tablet,1,30,2,1,6,6,1,0,13,0
50,1,1,Graduate,Married,46053.0,Tablet,1,30,5,3,0,3,0,2,4,0
30,0,1,Basic,Single,7500.0,Laptop,0,19,3,3,3,0,0,2,1,0
28,0,1,Graduate,Married,59525.0,Phone,2,28,4,17,1,3,1,5,2,1
29,1,2,Graduate,Married,56102.0,Laptop,1,39,6,15,4,5,5,3,7,1
27,1,2,Graduate,Married,41181.0,Computer,2,28,2,4,2,3,6,5,4,1
50,1,1,Graduate,Single,72504.0,Laptop,2,16,2,5,2,0,5,0,0,0
19,1,0,Undergraduate,Single,26199.0,Laptop,2,43,3,22,8,7,5,0,3,1
16,0,0,Undergraduate,Single,19949.0,Phone,0,40,7,1,5,3,1,6,7,1
22,1,0,Undergraduate,Single,15607.0,Computer,1,15,1,12,3,1,1,2,2,0
51,0,1,PhD,Married,32011.0,Laptop,0,15,4,2,4,0,0,0,2,0
44,0,1,2ndCycle,Married,25804.0,Computer,0,21,2,2,5,1,0,6,0,0
50,1,0,PhD,Married,70116.0,Computer,1,19,4,2,1,5,3,5,14,0
50,0,1,PhD,Married,29791.0,Tablet,2,25,4,2,4,1,4,1,0,0
26,0,2,Graduate,Married,49324.0,Laptop,0,24,3,1,1,3,0,2,0,1
47,1,1,Graduate,Single,33249.0,Phone,0,28,2,2,3,5,3,1,11,0
50,1,1,2ndCycle,Married,50334.0,Computer,2,18,2,7,6,2,6,0,1,0
46,1,2,Master,Married,46106.0,Laptop,0,24,4,1,5,0,3,2,5,0
43,1,1,Graduate,Married,77298.0,Laptop,2,5,2,6,5,2,3,2,10,0
40,1,1,PhD,Married,32313.0,Computer,2,13,4,4,1,6,8,0,2,0
42,1,1,Graduate,Married,43586.0,Computer,1,27,2,3,5,5,4,3,1,0
40,0,0,Graduate,Married,65169.0,Laptop,2,48,5,10,2,4,3,4,15,1
55,1,3,Graduate,Married,22574.0,Laptop,2,19,4,2,0,3,1,8,0,0
16,1,0,Undergraduate,Single,15200.0,Phone,1,22,3,10,1,5,4,7,7,1
22,0,0,Undergraduate,Single,8005.0,Phone,1,11,3,20,3,3,5,5,2,1
52,1,2,PhD,Married,77622.0,Computer,0,16,3,6,0,0,4,0,2,0
41,0,1,Basic,Married,24480.0,Tablet,1,26,3,3,1,3,4,0,2,0
50,1,0,PhD,Single,86857.0,Phone,1,14,4,5,0,1,13,3,5,1
62,0,0,PhD,Single,76045.0,Computer,2,21,3,4,6,5,3,0,4,0
63,1,1,Graduate,Married,53154.0,Computer,1,18,1,3,6,4,1,0,2,0
42,1,2,Graduate,Married,41850.0,Computer,2,3,2,3,8,3,1,2,9,0
41,1,1,Master,Married,36959.0,Laptop,1,19,1,2,4,0,1,0,1,0
65,0,0,2ndCycle,Divorced,77297.0,Tablet,2,18,4,5,1,2,4,1,3,0
54,1,1,Master,Divorced,63841.0,Laptop,2,29,5,9,4,2,5,7,7,0
60,1,0,Master,Single,45183.0,Phone,0,4,1,4,2,0,0,4,8,0
57,1,1,Graduate,Married,44375.0,Computer,2,15,3,4,5,2,5,1,1,0
42,1,0,Graduate,Single,28071.0,Computer,2,12,3,5,2,0,1,3,0,0
56,1,2,PhD,Married,47472.0,Computer,2,7,2,2,3,1,2,1,1,0
71,0,0,Graduate,Widow,70792.0,Tablet,1,30,3,3,1,2,5,2,7,0
50,0,3,Graduate,Married,36026.0,Laptop,0,14,4,2,0,2,5,2,5,0
61,1,1,Graduate,Married,49678.0,Computer,2,22,2,6,1,3,5,2,5,0
64,1,1,Graduate,Married,69096.0,Laptop,2,11,2,5,5,7,1,1,8,0
69,1,0,Graduate,Divorced,62551.0,Phone,1,10,3,6,1,1,1,0,5,0
27,0,2,Graduate,Married,44756.0,Tablet,0,8,2,14,2,0,1,2,5,0
28,0,2,Graduate,Married,59341.0,Computer,2,12,1,3,1,1,2,0,16,0
74,1,1,PhD,Married,56223.0,Computer,0,13,2,2,3,1,2,1,0,0
70,1,1,Master,Married,70545.0,Tablet,0,8,1,4,1,0,3,1,7,0
19,0,0,Undergraduate,Single,22521.0,Laptop,1,17,1,8,6,5,7,2,2,0
26,1,0,Basic,Married,14421.0,Computer,0,24,2,1,6,6,0,4,7,0
48,1,0,PhD,Single,63159.0,Computer,1,25,2,3,6,3,0,4,6,0
51,1,1,PhD,Married,29732.0,Laptop,2,5,2,2,4,5,3,1,3,0
46,0,1,Graduate,Married,65991.0,Tablet,1,6,2,9,1,6,1,2,0,0
50,0,0,Graduate,Married,69209.0,Laptop,2,4,1,5,2,8,4,1,3,0
67,0,1,Graduate,Married,50737.0,Computer,2,7,2,2,3,1,3,1,7,0
25,1,0,Undergraduate,Single,5149.0,Computer,0,35,2,13,10,3,1,5,6,1
40,1,0,Graduate,Married,79908.0,Laptop,0,9,1,5,6,8,4,7,5,0
62,1,2,Graduate,Married,29440.0,Phone,2,23,3,1,3,0,0,3,0,0
76,0,1,PhD,Married,44124.0,Computer,1,30,3,6,5,5,1,4,0,0
53,0,1,Graduate,Married,26304.0,Laptop,0,30,4,1,0,7,5,5,0,0
66,1,1,Graduate,Divorced,46086.0,Tablet,2,27,3,3,7,0,5,6,3,0
22,0,0,Undergraduate,Single,6162.0,Computer,1,48,4,8,1,2,2,0,2,1
52,1,1,Graduate,Single,33697.0,Computer,2,9,1,1,0,0,1,0,1,0
52,1,1,Graduate,Married,22070.0,Phone,0,5,2,2,1,8,3,0,8,0
53,0,2,Master,Married,43142.0,Tablet,1,13,4,1,2,2,3,6,4,0
45,1,0,Graduate,Divorced,82582.0,Phone,0,7,2,4,10,2,4,6,0,1
43,1,0,Graduate,Single,70337.0,Computer,0,21,5,2,1,3,0,4,3,0
46,0,2,Graduate,Married,50200.0,Computer,0,28,5,7,0,2,1,3,2,0
57,1,0,PhD,Married,32727.0,Computer,2,5,1,7,5,1,3,3,0,0
58,0,2,PhD,Married,41551.0,Phone,0,17,1,5,5,5,1,0,2,0
27,1,1,Graduate,Married,41030.0,Tablet,1,47,5,2,7,5,2,0,1,1
29,1,0,Graduate,Single,79244.0,Computer,0,33,5,4,6,0,2,8,10,1
66,0,2,PhD,Married,77376.0,Computer,0,23,2,6,3,0,1,2,6,0
24,1,0,Undergraduate,Single,9701.0,Tablet,2,4,2,27,0,1,3,6,3,0
63,0,0,Master,Married,89120.0,Tablet,1,30,6,5,0,0,2,0,7,0
44,1,2,Graduate,Married,66373.0,Laptop,0,5,2,4,5,2,0,4,0,0
49,0,1,2ndCycle,Divorced,31163.0,Computer,0,20,4,1,6,4,2,2,4,0
75,1,1,PhD,Married,73059.0,Tablet,1,29,4,9,7,3,5,1,7,0
39,1,0,Graduate,Married,36790.0,Tablet,1,44,4,2,0,7,6,8,3,1
76,0,0,Master,Married,68657.0,Laptop,1,4,2,3,3,1,0,0,5,0
56,1,2,Master,Married,38179.0,Laptop,2,24,4,3,1,7,3,0,7,0
49,1,0,Graduate,Married,65308.0,Laptop,1,20,3,7,1,0,5,5,14,0
44,0,1,Graduate,Married,41154.0,Computer,1,25,4,1,0,0,3,0,5,0
51,0,0,Graduate,Divorced,1730.0,Laptop,2,25,4,0,0,0,2,1,2,0
49,1,2,Master,Married,27159.0,Tablet,2,11,1,1,8,5,2,4,1,0
41,0,2,Graduate,Divorced,28510.0,Computer,0,23,5,2,4,3,0,5,12,0
51,0,1,Master,Married,34109.0,Computer,1,14,3,0,4,5,2,7,15,0
51,1,1,Graduate,Married,18793.0,Computer,0,5,2,2,6,1,5,4,8,0
58,0,1,Graduate,Married,55761.0,Tablet,1,27,5,4,1,1,3,0,8,0
58,1,1,Master,Single,63972.0,Tablet,1,21,2,5,0,3,0,2,0,0
46,0,1,Graduate,Married,17148.0,Phone,2,5,2,3,1,1,0,1,2,0
40,0,0,Master,Single,75777.0,Tablet,2,11,3,3,0,2,7,3,13,1
62,1,2,Master,Married,28520.0,Computer,2,14,3,1,1,1,7,5,4,0
44,1,1,Graduate,Single,30168.0,Laptop,1,17,4,6,3,2,1,0,6,0
30,1,1,Graduate,Married,44558.0,Phone,1,17,3,18,2,3,4,4,12,1
52,1,2,2ndCycle,Married,23162.0,Laptop,0,11,1,1,0,7,4,1,0,0
64,1,1,Graduate,Married,65148.0,Phone,2,18,1,6,2,5,0,7,8,0
44,0,1,Master,Married,88097.0,Laptop,1,49,5,6,5,6,1,4,4,1
16,1,0,Undergraduate,Single,24838.0,Phone,2,26,5,5,4,0,3,3,1,1
45,0,1,Graduate,Married,41124.0,Tablet,2,7,1,7,5,1,3,1,6,0
56,1,1,Graduate,Married,60894.0,Tablet,0,21,3,10,3,0,3,4,6,0
26,1,0,Graduate,Single,45888.0,Tablet,2,18,1,1,4,1,6,5,12,1
70,1,1,Graduate,Divorced,51537.0,Computer,2,11,4,2,3,0,7,6,4,0
32,0,0,PhD,Married,74214.0,Computer,0,8,2,8,0,7,6,1,5,0
50,1,1,PhD,Single,55260.0,Computer,0,27,2,8,2,1,5,4,7,0
55,0,2,Master,Married,37054.0,Laptop,1,18,2,1,3,6,5,5,2,0
40,0,2,Graduate,Married,45203.0,Phone,2,34,5,3,2,9,0,7,1,1
66,0,1,Graduate,Married,63943.0,Tablet,1,8,1,6,5,4,1,5,11,0
59,1,2,Graduate,Married,54414.0,Tablet,1,26,4,3,3,1,5,1,10,0
39,0,0,PhD,Married,50150.0,Tablet,0,23,2,5,7,3,1,3,6,0
19,1,0,Undergraduate,Single,19113.0,Phone,0,20,5,12,0,3,2,2,7,1
56,0,2,Master,Married,49618.0,Computer,2,23,4,3,3,2,0,0,1,0
67,1,2,Graduate,Married,42586.0,Phone,0,15,1,4,5,11,6,0,0,1
53,1,1,Graduate,Single,72679.0,Laptop,1,16,4,4,1,1,2,0,8,0
57,1,1,PhD,Married,62745.0,Laptop,2,18,3,7,2,0,7,2,8,0
35,0,1,Graduate,Married,25545.0,Laptop,1,26,5,2,5,3,9,7,7,1
43,1,1,2ndCycle,Married,7500.0,Tablet,0,11,3,3,3,5,2,0,9,0
64,1,0,2ndCycle,Single,85485.0,Computer,2,26,4,6,1,3,3,0,5,0
46,0,2,Graduate,Married,59809.0,Phone,1,17,2,3,1,9,1,0,6,0
54,1,1,Graduate,Married,41728.0,Computer,0,13,2,2,3,1,0,2,1,0
67,0,1,2ndCycle,Married,62972.0,Computer,2,12,3,7,0,0,1,2,14,0
27,1,0,Graduate,Single,58768.0,Laptop,1,12,4,7,10,3,5,0,5,0
51,0,2,PhD,Married,46463.0,Tablet,1,22,2,3,4,6,1,1,11,0
70,0,1,PhD,Married,54549.0,Tablet,0,24,5,5,0,0,3,4,5,0
55,0,2,Graduate,Married,27943.0,Computer,1,21,5,2,1,2,6,2,8,0
60,0,1,Graduate,Married,50127.0,Laptop,2,8,1,5,0,4,3,2,1,0
45,1,2,Graduate,Married,31353.0,Laptop,0,23,3,1,0,1,2,1,10,1
28,1,2,Graduate,Married,55324.0,Computer,0,28,4,15,7,1,0,4,4,0
21,0,0,Undergraduate,Single,11485.0,Computer,1,27,4,3,3,7,1,2,7,1
42,1,1,PhD,Single,36802.0,Phone,2,19,1,1,2,0,6,0,5,0
42,0,0,2ndCycle,Married,96547.0,Phone,2,41,4,7,6,1,3,6,3,1
46,1,2,Master,Married,49681.0,Computer,1,26,5,7,0,0,4,2,1,0
46,1,1,PhD,Married,55424.0,Computer,0,19,3,7,9,4,2,3,12,1
48,1,1,Graduate,Married,26067.0,Phone,0,27,2,3,5,0,3,0,5,0
45,1,1,Master,Married,22701.0,Tablet,1,3,1,1,1,1,5,5,9,0
61,1,1,PhD,Married,55212.0,Laptop,2,4,1,6,9,4,2,5,4,0
16,0,0,Undergraduate,Single,26926.0,Computer,1,25,3,24,7,4,4,5,4,1
58,0,0,Graduate,Single,61839.0,Tablet,0,22,2,4,1,0,1,0,0,0
51,0,2,Graduate,Married,51747.0,Computer,0,16,4,2,0,7,4,2,4,0
21,0,0,Undergraduate,Single,23371.0,Computer,0,49,3,12,0,7,1,1,4,1
20,0,0,Undergraduate,Single,19495.0,Computer,2,10,2,7,0,7,0,0,2,0
57,0,2,Graduate,Married,66480.0,Laptop,1,23,5,4,4,2,1,8,0,0
25,0,0,Undergraduate,Single,28330.0,Laptop,2,9,2,19,0,6,1,4,0,1
24,0,0,Undergraduate,Single,19301.0,Phone,1,8,1,16,4,1,9,2,0,1
51,0,1,PhD,Married,32892.0,Tablet,2,13,1,3,2,7,3,0,14,0
48,1,2,PhD,Married,45207.0,Computer,2,19,3,3,2,7,4,4,1,0
59,1,2,Master,Divorced,48721.0,Phone,0,24,5,4,3,2,2,2,6,0
68,1,1,PhD,Married,36930.0,Phone,0,26,4,5,6,1,5,6,14,0
48,1,1,Graduate,Married,42557.0,Tablet,0,25,4,6,2,7,3,0,1,0
56,0,0,Basic,Married,22634.0,Computer,2,30,5,2,7,2,0,0,3,0
63,1,1,Graduate,Married,71706.0,Phone,2,16,3,9,3,3,0,0,0,0
65,0,0,2ndCycle,Married,82347.0,Computer,1,5,1,7,3,3,4,7,5,0
23,1,0,Undergraduate,Single,15892.0,Tablet,1,8,1,5,10,1,7,2,3,0
56,0,0,PhD,Single,78420.0,Computer,0,19,3,3,1,7,1,6,14,0
61,0,0,Graduate,Single,86429.0,Tablet,0,38,6,7,9,9,10,0,3,1
36,1,0,PhD,Married,91820.0,Computer,0,3,1,5,1,2,4,1,2,0
69,0,2,Master,Married,54348.0,Computer,1,26,2,2,1,1,2,5,0,0
52,1,1,Graduate,Single,43020.0,Computer,0,4,1,4,2,2,3,0,0,0
48,1,1,Graduate,Married,44989.0,Computer,1,4,2,5,3,4,4,5,7,0
70,0,2,Master,Married,40442.0,Phone,2,20,2,3,6,3,2,2,6,1
36,1,0,2ndCycle,Married,20491.0,Computer,1,27,3,0,0,5,2,4,17,0
18,1,0,Undergraduate,Single,22867.0,Laptop,2,12,2,25,6,9,10,5,1,1
46,0,1,Graduate,Divorced,30992.0,Laptop,1,20,5,1,4,4,1,6,3,0
51,0,1,Graduate,Single,55239.0,Computer,0,27,2,7,5,5,0,0,6,0
51,1,1,PhD,Married,32892.0,Tablet,1,21,2,3,2,5,1,0,10,0
28,0,0,Graduate,Single,47955.0,Tablet,0,16,3,0,4,7,2,4,6,1
57,0,2,Graduate,Married,29672.0,Phone,1,14,3,0,0,2,8,1,3,0
18,0,0,Undergraduate,Single,7546.0,Computer,1,40,3,7,2,2,1,2,0,1
64,1,0,PhD,Married,84460.0,Tablet,1,7,2,9,4,1,12,3,2,1
71,1,0,PhD,Married,53312.0,Tablet,0,5,2,5,7,1,3,4,5,0
44,0,2,Graduate,Widow,54162.0,Computer,0,26,4,1,5,7,2,2,1,0
21,1,0,Undergraduate,Single,5692.0,Computer,2,8,2,10,6,0,0,0,1,0
43,0,1,PhD,Married,31605.0,Computer,1,27,5,2,4,0,7,0,1,0
56,0,2,Graduate,Single,37070.0,Tablet,2,13,2,5,3,5,9,1,1,1
53,0,1,Graduate,Single,54803.0,Computer,0,13,2,6,0,3,0,4,3,0
53,1,2,PhD,Married,51039.0,Phone,0,9,1,6,0,2,1,0,5,0
74,1,0,Master,Widow,78427.0,Laptop,0,41,4,3,3,4,2,0,3,1
43,0,1,Graduate,Married,72063.0,Laptop,1,23,4,5,3,0,0,4,3,0
