ID,Age,Gender,ChildrenHome,Education,Marital_Status,Income,DeviceType,SubscriptionPaymentMethod,TimeSpentOnStraitsTimes,NumOfTimesAppOpened,NumAdsViewed,NumArticlesFashion,NumArticlesTechnology,NumArticlesHealth,NumArticlesSports,NumArticlesWorldEvents,Response
77,59,0,2,Graduation,Widow,34213,Phone,1,33,3,3,8,5,8,5,15,1
78,46,1,0,PhD,Together,72335,Phone,0,16,1,10,2,5,11,7,5,1
79,58,1,0,Master,Married,79143,Tablet,1,16,4,6,0,3,0,0,4,0
80,75,0,0,Graduation,Married,27469,Computer,0,15,3,0,6,3,3,5,5,0
81,53,1,0,Graduation,Together,68695,Computer,1,10,2,4,1,1,5,2,8,0
82,53,0,0,Graduation,Together,68695,Computer,0,12,1,4,0,4,2,2,12,0
83,65,0,1,Graduation,Single,50388,Laptop,2,39,2,6,3,0,1,4,3,1
84,52,1,2,PhD,Together,77622,Computer,0,16,3,6,0,0,4,0,2,0
85,60,0,3,Graduation,Divorced,46102,Computer,2,7,2,1,7,4,1,1,0,0
86,42,0,1,2n Cycle,Single,31859,Computer,1,23,3,1,2,1,0,1,0,0
87,35,1,0,2n Cycle,Single,23830,Computer,2,8,2,1,7,5,5,0,10,0
88,49,0,2,Graduation,Married,24639,Computer,2,30,3,2,0,3,1,2,2,0
89,77,0,0,PhD,Together,71604,Laptop,0,8,1,8,0,2,7,1,9,1
90,38,1,1,Graduation,Married,27255,Computer,2,23,4,1,5,0,1,1,3,0
91,45,0,1,Graduation,Together,55375,Laptop,2,19,4,1,0,0,4,3,2,0
92,62,1,1,PhD,Married,77037,Computer,0,16,1,7,1,1,5,2,4,0
93,52,0,2,Graduation,Single,24163,Computer,2,3,1,1,2,5,1,5,5,0
94,53,0,0,PhD,Together,69476,Laptop,2,16,4,4,7,0,3,1,1,0
95,43,0,1,Graduation,Married,72063,Laptop,1,23,4,5,3,0,0,4,3,0
96,60,0,1,Master,Married,58646,Computer,0,21,3,2,5,0,1,8,7,0
97,60,1,1,Master,Married,58646,Computer,1,27,2,2,1,5,0,4,4,0
98,73,0,2,Master,Widow,47570,Laptop,1,12,2,2,1,3,1,2,5,1
99,42,1,1,Graduation,Married,80011,Computer,0,30,4,8,3,1,6,0,3,0
100,66,0,1,PhD,Single,54998,Phone,2,19,3,4,0,4,0,3,8,1
101,74,1,1,PhD,Single,60200,Computer,0,7,2,6,2,5,3,0,8,0
102,40,1,0,Graduation,Married,63211,Phone,1,26,2,3,5,5,9,9,6,1
103,49,1,1,PhD,Single,48432,Phone,1,36,4,7,6,8,5,7,7,1
104,49,1,1,PhD,YOLO,48432,Computer,1,14,1,7,3,2,3,0,1,0
105,49,1,1,PhD,YOLO,48432,Phone,0,15,2,7,4,3,2,7,5,1
106,73,0,2,Master,Married,62845,Computer,2,7,1,3,0,4,2,8,3,0
107,73,0,2,Master,Married,62845,Phone,0,44,4,3,5,3,8,1,8,1
108,57,1,0,PhD,Together,65220,Phone,1,23,3,8,4,3,13,9,1,1
109,32,0,0,PhD,Married,74214,Computer,0,8,2,8,0,7,6,1,5,0
110,42,0,0,2n Cycle,Married,96547,Phone,2,41,4,7,6,1,3,6,3,1
111,67,1,1,Graduation,Together,53863,Computer,1,17,3,7,6,3,0,5,6,0
112,52,1,2,Graduation,Married,50447,Tablet,2,25,3,3,0,3,4,0,0,0
113,69,0,1,Graduation,Married,37716,Computer,1,17,3,4,3,3,4,1,5,0
114,40,0,2,Graduation,Together,45203,Phone,2,34,5,3,2,9,0,7,1,1
115,47,1,1,Master,Married,37368,Computer,1,26,2,1,4,0,2,3,16,0
116,67,1,1,Graduation,Married,67225,Computer,0,15,1,7,2,0,3,0,1,0
117,46,1,1,Master,Together,65104,Phone,0,9,1,3,7,7,1,0,4,1
118,46,1,1,Master,Together,65104,Computer,2,19,2,3,5,3,3,3,2,0
119,73,0,0,Master,Married,81698,Phone,0,16,4,3,7,2,0,8,2,1
120,54,0,1,Graduation,Single,70566,Laptop,2,19,3,6,0,6,3,1,1,0
121,64,1,1,Graduation,Together,69096,Laptop,2,11,2,5,5,7,1,1,8,0
122,60,0,1,Graduation,Married,71434,Phone,0,8,2,7,5,5,0,2,9,0
123,44,1,1,Graduation,Married,33039,Laptop,0,27,5,2,4,9,5,2,16,0
124,44,0,1,Graduation,Married,33039,Laptop,2,16,3,2,4,7,1,2,1,0
125,64,0,0,Graduation,Together,46610,Laptop,0,6,2,6,5,0,2,4,0,0
126,64,0,1,Graduation,Single,49967,Phone,2,6,2,6,1,3,3,2,0,0
127,46,0,2,Graduation,Married,53359,Laptop,1,6,1,5,0,3,0,6,2,0
128,51,0,2,Master,Married,49505,Computer,0,23,4,10,5,8,2,1,13,0
129,76,0,0,Master,Married,68657,Laptop,1,4,2,3,3,1,0,0,5,0
130,68,0,1,Graduation,Divorced,72071,Laptop,1,29,4,5,5,1,4,4,7,0
131,68,0,1,Graduation,Divorced,72071,Tablet,0,27,5,5,2,1,2,2,6,0
132,55,1,1,Master,Single,59235,Laptop,0,22,3,11,0,2,6,4,1,0
133,65,0,1,Graduation,Together,21994,Laptop,2,15,4,0,4,6,2,4,10,0
134,65,1,1,Graduation,Together,21994,Laptop,0,28,3,0,4,0,0,2,9,0
135,65,0,3,PhD,Married,,Laptop,2,10,4,7,1,2,6,5,0,0
136,50,0,0,Graduation,Married,69209,Laptop,2,4,1,5,2,8,4,1,3,0
137,33,1,1,Graduation,Together,31928,Computer,0,12,2,3,0,0,4,4,0,0
138,35,0,0,PhD,Single,74004,Phone,0,31,6,4,3,2,9,1,8,1
139,35,1,0,2n Cycle,Married,30390,Laptop,1,28,2,2,5,1,1,3,4,0
140,37,0,1,Graduation,Married,21355,Phone,0,14,2,2,2,2,11,2,5,1
141,53,0,1,Graduation,Married,26304,Laptop,0,30,4,1,0,7,5,5,0,0
142,33,0,0,2n Cycle,Married,85710,Laptop,1,12,2,6,5,0,2,3,6,0
143,48,1,0,Graduation,Divorced,102692,Phone,2,24,2,6,8,0,2,0,8,1
144,51,1,1,Graduation,Single,58350,Laptop,0,28,4,8,0,1,0,1,1,0
145,44,0,2,Graduation,Single,7500,Laptop,0,22,4,2,1,1,1,4,3,0
146,38,0,0,Master,Single,18890,Phone,0,37,2,0,5,8,5,1,7,1
147,36,0,1,Basic,Married,20425,Laptop,2,15,4,2,2,6,4,0,1,0
148,36,1,1,Basic,Married,20425,Laptop,0,18,2,2,0,2,1,7,6,0
149,65,0,2,PhD,Divorced,41437,Laptop,1,8,1,1,1,2,1,4,12,0
150,73,0,1,Master,Together,49912,Phone,1,20,4,10,4,5,2,2,8,1
151,73,1,1,Master,Together,49912,Phone,1,28,2,10,3,9,4,3,4,1
152,63,0,1,Graduation,Married,79823,Laptop,0,14,2,6,1,4,5,1,5,0
153,68,1,0,Graduation,Divorced,85683,Phone,2,17,3,2,4,4,6,0,8,1
154,57,0,2,PhD,Divorced,47025,Laptop,2,14,1,1,0,6,0,4,4,0
155,46,1,1,PhD,Married,68397,Laptop,0,16,3,6,3,5,0,0,4,0
156,38,1,1,PhD,Married,38175,Computer,1,8,2,3,0,0,4,5,13,0
157,50,1,2,Master,Single,46423,Laptop,1,3,2,2,3,0,3,0,4,0
158,50,1,2,Master,Single,46423,Laptop,1,17,3,2,1,1,1,6,3,0
159,46,1,1,Master,Together,30560,Laptop,1,3,2,1,2,1,4,7,15,0
160,46,1,1,Master,Together,30560,Phone,2,30,6,1,0,0,5,4,9,0
161,43,1,1,Graduation,Single,60152,Phone,0,16,3,6,0,9,1,1,0,0
162,57,0,2,Graduation,Together,29672,Phone,1,14,3,0,0,2,8,1,3,0
163,57,0,2,Graduation,Together,29672,Phone,1,22,5,0,0,1,1,4,11,0
164,75,1,0,Graduation,Together,70321,Computer,1,49,3,6,0,8,3,1,7,1
165,60,0,1,Graduation,Married,56181,Phone,0,14,3,4,1,2,2,2,4,0
166,32,0,0,Basic,Married,24279,Phone,1,10,3,4,1,2,4,0,1,0
167,53,1,0,PhD,Married,68462,Phone,1,23,3,3,1,2,2,0,7,0
168,46,1,1,PhD,Married,55424,Computer,0,19,3,7,9,4,2,3,12,1
169,49,0,1,Graduation,Married,49094,Phone,0,16,3,6,4,0,3,2,2,0
170,61,1,1,2n Cycle,Widow,59184,Phone,1,21,2,6,2,0,2,1,8,0
171,35,1,0,Graduation,Together,67430,Phone,0,11,3,11,4,0,2,0,0,0
172,62,1,1,Master,Married,30522,Phone,1,8,1,1,1,2,8,0,16,0
173,45,0,1,2n Cycle,Single,31878,Phone,0,29,5,1,6,9,4,1,1,0
174,30,0,0,Graduation,Single,83528,Computer,0,26,3,4,8,4,4,1,1,1
175,43,0,0,Graduation,Together,90300,Phone,2,25,5,5,4,0,1,2,10,0
176,44,1,0,Master,Single,68092,Phone,0,5,1,2,0,4,2,0,9,0
177,50,0,2,Master,Married,53761,Computer,0,13,3,4,2,1,4,4,0,0
178,49,1,1,Graduation,Married,52845,Laptop,1,28,3,8,1,0,7,2,0,0
179,46,1,1,Graduation,Married,24027,Laptop,2,11,4,2,5,2,3,3,8,0
180,43,1,1,2n Cycle,Together,7500,Tablet,0,11,3,3,3,5,2,0,9,0
181,67,1,2,Graduation,Together,42586,Phone,0,15,1,4,5,11,6,0,0,1
182,67,0,2,Graduation,Together,42586,Phone,0,10,1,4,8,4,0,5,2,1
183,49,1,1,Basic,Together,9722,Laptop,1,16,4,3,0,9,2,3,5,1
184,47,0,0,PhD,Married,86836,Phone,0,8,2,6,2,1,3,5,2,1
185,50,1,1,Graduation,Married,30467,Tablet,2,6,2,1,4,4,1,1,7,0
186,70,0,1,PhD,Married,54549,Tablet,0,24,5,5,0,0,3,4,5,0
187,40,1,1,Graduation,Together,19444,Phone,1,23,4,4,0,5,5,3,6,1
188,66,1,1,Master,Together,69245,Tablet,1,25,3,6,7,1,6,0,4,0
189,59,0,0,PhD,Divorced,72968,Phone,1,23,4,5,3,5,0,2,3,1
190,69,0,3,Graduation,Married,48686,Computer,1,21,5,1,7,2,5,3,0,0
191,32,1,0,Graduation,Married,73687,Computer,0,10,3,3,0,3,5,1,3,1
192,78,0,0,PhD,Single,82716,Laptop,1,8,1,6,2,4,0,7,5,0
193,41,0,1,2n Cycle,Married,35523,Phone,1,15,2,3,0,1,2,6,5,0
194,47,1,1,PhD,Divorced,60554,Phone,2,14,3,8,4,0,3,1,1,0
195,66,0,1,Graduation,Together,64090,Computer,0,27,5,6,6,7,9,2,5,1
196,57,1,1,Graduation,Single,61559,Phone,1,29,3,4,2,1,0,2,2,0
197,60,0,0,PhD,Widow,71670,Computer,0,18,1,5,0,0,4,5,2,1
198,71,0,1,PhD,Widow,67680,Laptop,0,25,4,7,3,2,8,6,5,0
199,41,1,1,Graduation,Married,54386,Laptop,0,20,4,3,5,3,1,4,10,0
200,69,1,1,PhD,Single,64108,Laptop,2,26,3,6,1,2,3,4,6,0
201,71,1,1,PhD,Together,69702,Phone,2,4,1,7,7,2,0,5,11,0
202,70,0,1,Graduation,Single,47958,Phone,1,13,1,6,1,3,1,4,1,0
203,62,1,1,Graduation,Married,67716,Phone,2,17,2,7,5,0,3,1,12,0
204,51,1,2,Graduation,Together,34600,Tablet,0,30,6,5,10,2,4,3,3,1
205,51,1,2,Graduation,Together,34600,Tablet,2,6,2,5,6,0,8,3,1,1
206,53,0,2,Graduation,Married,48752,Tablet,1,47,5,6,7,6,5,1,8,1
207,34,0,1,2n Cycle,Married,15716,Phone,2,28,4,3,3,6,4,2,11,0
208,70,0,2,PhD,Divorced,46610,Tablet,1,44,6,4,3,0,11,6,0,1
209,45,1,0,Graduation,Married,74985,Phone,0,6,2,3,5,2,2,0,13,0
210,77,0,0,PhD,Single,45576,Tablet,1,42,5,3,0,6,6,5,6,1
211,77,1,0,PhD,Single,113734,Phone,2,18,1,27,2,9,5,6,8,0
212,35,0,1,Graduation,Single,57100,Phone,1,9,2,3,2,5,8,0,16,0
213,50,0,2,Graduation,Married,24434,Phone,1,3,2,2,6,3,6,4,2,0
214,51,0,1,PhD,Married,37126,Tablet,1,7,1,1,8,6,3,3,3,1
215,64,0,2,Graduation,Single,45160,Phone,2,18,3,1,4,0,4,6,0,0
216,45,0,1,Graduation,Together,33178,Tablet,0,10,1,1,0,2,4,1,1,0
217,72,0,1,Master,Widow,64866,Tablet,2,19,2,7,0,7,0,2,3,0
218,47,1,1,Master,Together,34176,Phone,1,3,1,1,7,3,5,6,1,0
219,54,1,1,Master,Single,50014,Tablet,1,24,5,4,4,4,6,2,16,0
220,74,0,0,Graduation,Married,92344,Computer,1,3,1,5,7,3,0,1,15,0
221,52,1,1,Master,Divorced,55282,Phone,1,13,3,3,1,2,0,0,6,0
222,59,1,1,PhD,Divorced,48799,Phone,0,3,1,3,2,6,0,2,5,0
223,40,0,0,PhD,Married,84169,Tablet,1,33,6,7,4,0,8,7,9,1
224,40,1,0,PhD,Married,84169,Tablet,1,13,2,7,8,1,2,3,2,1
225,51,0,1,Master,Single,39763,Phone,2,13,1,5,5,0,1,5,4,1
226,47,0,0,PhD,Divorced,74165,Phone,1,14,2,5,0,4,6,5,0,0
227,57,0,2,Graduation,Single,42720,Tablet,0,8,1,7,2,8,9,0,17,1
228,78,1,0,Graduation,Married,65275,Phone,1,22,4,4,1,3,4,4,7,0
229,61,0,2,Graduation,Married,36443,Phone,1,8,1,3,7,0,2,6,3,0
230,70,0,2,Master,Together,43776,Tablet,0,44,4,5,0,3,4,1,4,1
231,57,0,0,Graduation,Together,56046,Tablet,0,45,4,10,7,8,4,7,0,1
232,64,1,1,Graduation,Married,65148,Phone,2,18,1,6,2,5,0,7,8,0
233,67,0,1,Graduation,Divorced,49431,Tablet,2,24,3,7,6,4,0,5,11,0
234,61,0,2,PhD,Together,32583,Phone,1,7,2,1,4,1,1,1,1,0
235,43,0,1,Master,Single,16653,Tablet,1,28,5,2,4,1,6,0,17,1
236,51,1,2,2n Cycle,Together,26850,Phone,1,9,2,2,2,1,8,1,13,0
237,54,0,2,Graduation,Married,51287,Laptop,0,29,5,4,4,3,0,5,5,0
238,49,0,1,2n Cycle,Married,43050,Laptop,1,23,4,2,1,0,0,6,1,0
239,53,0,0,Graduation,Married,73448,Tablet,0,6,1,7,2,1,4,0,1,0
240,30,0,1,Basic,Married,17256,Phone,1,7,1,2,7,1,4,0,4,0
241,61,0,0,Graduation,Single,86429,Tablet,0,38,6,7,9,9,10,0,3,1
242,39,1,1,PhD,Married,33569,Tablet,0,39,4,1,2,5,2,3,9,1
243,42,1,1,2n Cycle,Together,25130,Phone,1,15,3,2,3,3,0,1,8,0
244,70,1,1,Graduation,Married,62998,Tablet,2,29,3,5,2,4,2,2,6,0
245,46,0,2,2n Cycle,Together,26907,Phone,2,11,2,1,7,1,0,2,2,0
246,46,0,2,2n Cycle,Together,26907,Tablet,1,26,3,1,0,1,3,2,1,0
247,74,1,1,PhD,Married,45579,Phone,1,22,3,4,2,1,2,3,3,0
248,65,1,1,Graduation,Together,47320,Computer,2,16,1,5,0,0,5,1,7,0
249,46,1,1,PhD,Divorced,70179,Laptop,1,12,2,7,2,1,4,5,5,0
250,46,0,1,PhD,Divorced,70179,Laptop,2,6,1,7,4,1,1,5,7,0
251,36,0,1,Master,Married,28072,Phone,0,20,2,1,1,5,2,1,4,0
252,68,1,2,Graduation,Married,50501,Tablet,1,15,4,5,0,6,6,4,15,1
253,53,1,3,Graduation,Together,58917,Phone,2,14,3,4,1,0,0,7,1,0
254,73,1,0,Graduation,Together,69372,Tablet,2,44,3,10,3,2,12,0,4,1
255,51,1,1,Master,Married,35178,Tablet,1,24,2,1,1,6,5,0,1,1
256,51,0,1,Master,Married,35178,Tablet,1,12,1,1,2,7,7,5,0,1
257,54,1,0,Graduation,Divorced,75693,Tablet,0,13,2,11,5,0,7,1,5,1
258,40,1,0,Graduation,Married,69109,Tablet,0,13,1,6,8,1,4,3,3,1
259,40,1,0,Graduation,Married,69109,Tablet,0,6,1,6,0,6,5,0,10,1
260,28,1,0,Graduation,Together,80134,Phone,2,21,2,2,5,0,2,3,0,0
261,52,0,1,Graduation,Divorced,64713,Tablet,2,22,3,5,1,6,3,1,7,1
262,36,0,0,Graduation,Divorced,41411,Phone,2,17,3,2,1,1,3,2,3,0
263,39,0,1,Graduation,Married,,Phone,2,16,1,1,5,7,6,2,1,0
264,67,0,3,PhD,Single,55521,Tablet,1,19,3,6,9,2,6,1,9,1
265,54,1,1,Master,Together,43795,Tablet,0,33,4,7,10,5,3,4,4,1
266,52,1,1,Graduation,Together,22070,Phone,0,5,2,2,1,8,3,0,8,0
267,73,1,2,Master,Married,36408,Laptop,1,24,4,1,1,2,0,6,4,0
268,72,0,2,Graduation,Together,34026,Laptop,2,21,5,2,3,4,1,0,8,0
269,72,0,2,Graduation,Together,34026,Phone,0,17,3,2,5,4,4,3,4,0
270,46,1,2,Graduation,Married,46049,Tablet,2,39,2,5,8,2,4,7,2,1
271,50,1,1,Master,Married,35641,Tablet,1,22,2,3,5,2,1,3,2,1
272,38,0,0,2n Cycle,Together,32414,Phone,2,25,3,1,4,5,0,8,6,0
273,67,1,1,PhD,Married,59821,Phone,1,9,1,11,2,0,0,3,4,0
274,42,1,1,Graduation,Married,34968,Laptop,0,12,2,3,0,1,0,1,2,0
275,55,0,1,PhD,Married,56320,Phone,1,23,5,5,6,7,2,2,14,0
276,53,0,1,Master,Married,70091,Phone,2,11,2,5,5,5,0,2,11,0
277,66,1,1,Graduation,Together,46097,Computer,0,10,3,3,6,1,2,0,1,0
278,59,0,0,PhD,Divorced,41003,Phone,0,23,5,6,3,4,6,0,6,0
279,63,0,1,Graduation,Together,44911,Phone,1,23,3,4,0,0,2,0,4,0
280,47,1,1,Graduation,Single,33249,Computer,0,30,3,2,0,1,2,0,4,0
281,47,1,1,Graduation,Single,33249,Phone,0,28,2,2,3,5,3,1,11,0
282,72,1,2,PhD,Divorced,42873,Tablet,0,17,2,6,7,0,1,0,5,0
283,53,1,2,PhD,Married,51039,Phone,0,9,1,6,0,2,1,0,5,0
284,64,1,1,PhD,Together,78952,Phone,2,19,2,2,5,3,0,0,2,0
285,56,0,2,Master,Divorced,29435,Tablet,1,42,5,3,11,0,0,3,12,1
286,68,1,1,Graduation,Divorced,79865,Phone,0,23,2,5,4,5,2,1,2,0
287,34,1,1,Graduation,Alone,34176,Tablet,0,5,1,3,0,0,2,0,7,0
288,34,0,1,Graduation,Single,34176,Laptop,2,5,2,3,4,1,0,4,13,0
289,52,0,1,PhD,Together,65968,Laptop,0,17,2,5,2,2,3,2,4,0
290,66,0,0,Master,Single,86424,Tablet,2,15,3,6,1,1,2,2,7,0
291,56,0,1,Graduation,Divorced,67272,Phone,2,5,2,6,1,0,3,0,11,0
292,65,0,0,Graduation,Single,78499,Tablet,0,45,4,11,2,7,0,0,1,1
293,50,1,1,Graduation,Together,77044,Phone,1,22,3,7,1,5,1,6,7,0
294,29,1,0,Graduation,Single,70515,Tablet,1,39,4,6,3,3,0,0,3,1
295,47,0,1,Master,Together,17459,Tablet,2,12,1,3,1,6,1,4,2,1
296,52,0,0,PhD,Married,80336,Phone,0,4,1,2,7,3,1,1,11,0
297,66,0,0,Graduation,Married,15759,Phone,0,17,3,1,2,0,3,1,4,0
298,46,1,0,2n Cycle,Together,26326,Phone,1,7,1,0,2,1,0,1,0,0
299,46,0,1,Graduation,Together,62061,Phone,2,23,5,10,2,5,1,3,4,0
300,46,0,1,Graduation,Married,5305,Computer,1,19,3,1,6,3,5,1,4,0
301,40,0,0,Master,Single,75777,Tablet,2,11,3,3,0,2,7,3,13,1
302,40,1,0,Master,Single,75777,Tablet,1,12,3,3,3,5,0,4,7,1
303,51,0,1,Master,Together,71499,Computer,1,10,3,8,1,2,2,3,8,0
304,44,0,1,PhD,Single,31626,Tablet,2,48,7,2,6,3,3,0,3,1
305,30,0,0,Master,Together,42670,Computer,2,18,1,4,1,8,4,0,10,0
306,49,0,0,Graduation,Single,83917,Tablet,2,27,4,6,2,4,1,7,13,1
307,53,0,1,Master,Together,41021,Phone,1,46,5,2,0,3,12,6,4,1
308,66,1,0,Graduation,Married,79456,Laptop,1,35,2,5,5,4,6,1,9,1
309,42,1,0,Master,Divorced,78789,Tablet,2,42,6,4,9,6,6,4,5,1
310,70,1,1,PhD,Married,50870,Computer,0,23,3,2,1,2,5,0,5,0
311,39,0,0,Master,Married,35876,Tablet,2,19,3,3,0,0,1,8,5,0
312,65,0,0,Graduation,Married,23539,Computer,2,30,3,2,0,0,6,7,0,0
313,55,1,1,Master,Single,32557,Tablet,2,34,4,2,6,3,14,0,16,1
314,52,0,1,2n Cycle,Married,62466,Computer,0,21,2,6,6,2,0,7,14,0
315,52,0,1,2n Cycle,Married,62466,Phone,2,21,5,6,0,5,1,6,8,0
316,56,1,2,Graduation,Married,54198,Computer,1,24,5,3,1,6,1,0,4,0
317,44,0,0,PhD,Married,82170,Computer,2,9,2,5,2,1,0,1,3,0
318,58,0,0,PhD,Single,61798,Laptop,1,8,1,4,3,0,4,4,8,0
319,30,0,1,Basic,Single,15253,Computer,2,21,5,1,5,3,4,4,8,0
